Code, Rate
DZD, 79.394004
NAD, 10.119356
QAR, 3.64
EGP, 4.626181
BGN, 1.975292
PAB, 1
PHP, 51.260442
BOB, 7.205459
DKK, 7.570609
BWP, 6.058787
LBP, 1511.404369
TZS, 949.372025
VND, 15259.779196
KHR, 3801.255951
MYR, 3.799695
LYD, 1.232229
UAH, 5.308346
JOD, 0.707
AWG, 1.79
SAR, 3.749765
LTL, 3.497113
HKD, 7.800084
CHF, 1.468829
GIP, 0.637714
BYR, 1809.075256
XPF, 120.866707
MRO, 267.512408
HRK, 7.490978
DJF, 177.721
THB, 42.00635
XAF, 664.630542
BND, 1.749552
ETB, 8.268115
NIO, 14.264053
LAK, 7532.968703
SYP, 50.94885
MAD, 10.62595
YER, 175.261825
ZAR, 10.217965
NPR, 76.946723
NGN, 130.897397
ZWD, 55.096822
CRC, 361.449407
AED, 3.67246
EEK, 15.883244
MWK, 74.243695
TTD, 6.2505
LKR, 95.777373
SKK, 44.903563
PKR, 59.349417
HUF, 249.566991
BMD, 1
LSL, 10.391067
MNT, 1100.253216
AMD, 566.33546
UGX, 1796.589943
XDR, 0.749207
JMD, 48.393295
GEL, 2.198217
SHP, 0.637199
MMK, 6.374942
KPW, 2.19133
TRY, 1.65077
BDT, 56.982984
CNY, 8.2734
HTG, 28.889193
SLL, 1922.667882
ANG, 1.79
RWF, 462.909956
NOK, 7.595661
MOP, 8.033854
INR, 48.472747
MXN, 9.817748
CZK, 30.93617
TJS, 2.80948
BTN, 48.401803
KMF, 498.296364
MUR, 29.665451
IDR, 9048.878068
HNL, 16.43624
FJD, 2.128917
ISK, 85.202066
PEN, 3.553012
BZD, 2
ILS, 4.695436
DOP, 17.564171
MDL, 13.47007
BSD, 1
SEK, 9.587052
ZMK, 4433.313076
MVR, 11.77
AUD, 1.854955
IEP, 0.797788
BBD, 2
KRW, 1184.886637
GMD, 18.62838
VEF, 1.346926
GTQ, 7.719943
SIT, 229.72959
CLP, 702.027124
EUR, 1.012782
ALL, 136.589689
XCD, 2.689649
KZT, 153.004153
RUB, 31.323711
CDF, 338.005672
RON, 3.290206
OMR, 0.384497
BRL, 2.997757
SBD, 7.080026
PLN, 4.201357
PYG, 5749.063101
KES, 78.134717
MKD, 62.153753
GBP, 0.637199
TWD, 33.561491
TOP, 1.787116
COP, 2631.255854
VUV, 146.214683
GNF, 1932.553429
WST, 3.538659
IQD, 3097.22
CVE, 111.68034
SCR, 5.596668
CAD, 1.58799
CYP, 0.579389
KWD, 0.300631
BIF, 852.636483
PGK, 3.864307
SOS, 2596.991796
SGD, 1.75073
UZS, 1788.179885
STD, 8985.414768
IRR, 1734.569027
SVC, 8.716358
XOF, 664.394814
TND, 1.357531
GYD, 178.90712
MTL, 0.419538
NZD, 2.153636
FKP, 0.637199
LVL, 0.600527
USD, 1
KGS, 46.101185
ARS, 3.615299
SZL, 10.389345
BHD, 0.3765
JPY, 119.090305
